학교종류,시도,학교명,본분교,학교상태,설립,주소,홈페이지
전문대학(2년제),충북,대원대학교,본교,기존,사립,충북 제천시 대학로 316 대원대학교,www.daewon.ac.kr
전문대학(2년제),경기,동서울대학교,본교,기존,사립,경기 성남시 수정구 복정로 76  ,www.dsc.ac.kr
전문대학(2년제),대전,대전보건대학교,본교,기존,사립,대전광역시 동구 충정로 21 (가양2동 77-3),www.hit.ac.kr
전문대학(2년제),대전,혜천대학교,본교,기존,사립,대전 서구 혜천로 100,www.hu.ac.kr
전문대학(2년제),충남,아주자동차대학,본교,기존,사립,충남 보령시 주포면 아주자동차대학,motor.ac.kr
전문대학(2년제),인천,인천재능대학교,본교,기존,사립,인천 동구 재담길2(송림동 122번지),www.jeiu.ac.kr
전문대학(2년제),경북,경북과학대학교,본교,기존,사립,경북 칠곡군 기산면 지산로 634,www.kbsc.ac.kr
전문대학(2년제),부산,동명대학,본교,폐교,사립,부산 남구 용당동 동명대학,
전문대학(2년제),광주,동강대학교,본교,기존,사립,광주 북구 동문대로 50,www.dkc.ac.kr
전문대학(2년제),강원,동우대학,본교,폐교,사립,강원 속초시 도리원길 5 동우대학,www.duc.ac.kr
전문대학(2년제),부산,동의과학대학교,본교,기존,사립,부산 부산진구 양지5로 152번지 동의과학대학교,www.dit.ac.kr
전문대학(2년제),경기,두원공과대학교,본교,기존,사립,경기 안성시 죽산면 관음당길 51 두원공과대학교,doowon.ac.kr
전문대학(2년제),경북,문경대학교,본교,기존,사립,경북 문경시 호계면 대학길 161,www.mkc.ac.kr
전문대학(2년제),전북,백제예술대학교,본교,기존,사립,전북 완주군 봉동읍 백제예술대학 ,www.paekche.ac.kr
전문대학(2년제),전북,벽성대학,본교,기존,사립,전북 김제시 공덕면 유강3길 133 벽성대학,www.bs.ac.kr
전문대학(2년제),부산,부산경상대학교,본교,기존,사립,부산 연제구 고분로170 부산경상대학교,www.bsks.ac.kr
전문대학(2년제),부산,부산여자대학교,본교,기존,사립,부산 부산진구 양정1동 부산여자대학교,www.bwc.ac.kr
전문대학(2년제),부산,부산과학기술대학교,본교,기존,사립,부산 북구 구포3동 산48-6,bist.ac.kr
전문대학(2년제),경기,부천대학교,본교,기존,사립,경기 부천시 원미구 신흥로 56번길 25(심곡동) 부천대학교,www.bc.ac.kr
전문대학(2년제),경기,삼육의명대학,본교,폐교,사립,경기 남양주시 별내면 삼육의명대학,http://www.syc.edu
전문대학(2년제),강원,상지영서대학교,본교,기존,사립,강원 원주시 상지대길 84(우산동),www.sy.ac.kr
전문대학(2년제),경기,서울보건대학,본교,폐교,사립,경기 성남시 수정구 양지동 서울보건대학,www.shjc.ac.kr
전문대학(2년제),서울,서일대학교,본교,학교명 변경,사립,서울 중랑구 서일대학길 22(면목동 49-3) 서일대학교,www.seoil.ac.kr
전문대학(2년제),부산,성심외국어대학,본교,폐교,사립,부산 해운대구 반송3동 성심외국어대학,www.sungsim.ac.kr
전문대학(2년제),경기,수원여자대학교,본교,기존,사립,경기 수원시 권선구 오목천동 수원여자대학 ,www.swc.ac.kr
전문대학(2년제),전남,순천제일대학교,본교,기존,사립,전남 순천시 덕월동 순천제일대학 산9-3번지,www.suncheon.ac.kr
전문대학(2년제),서울,숭의여자대학교,본교,기존,사립,서울특별시 중구 소파로2길 10(예장동),www.sewc.ac.kr
전문대학(2년제),경기,신구대학교,본교,기존,사립,경기 성남시 중원구 광명로 377,www.shingu.ac.kr
전문대학(2년제),경기,신흥대학교,본교,기존,사립,경기 의정부시 호암로 95번지,www.shc.ac.kr
전문대학(2년제),경기,신안산대학교,본교,기존,사립,경기 안산시 단원구 신안산대학로 135,www.sau.ac.kr
전문대학(2년제),경남,양산대학교,본교,기존,사립,경남 양산시 명곡로 321번지 양산대학,www.yangsan.ac.kr
전문대학(2년제),경기,여주대학교,본교,기존,사립,경기 여주군 여주읍 세종로 338번지,www.yit.ac.kr
전문대학(2년제),충남,천안연암대학,본교,기존,사립,충남 천안시 성환읍 연암로 313 천안연암대학,www.yonam.ac.kr
전문대학(2년제),대구,영남이공대학교,본교,기존,사립,대구광역시 남구 현충로 170(대명동),www.ync.ac.kr
전문대학(2년제),강원,세경대학교,본교,기존,사립,강원 영월군 영월읍 하송로 197,www.saekyung.ac.kr
전문대학(2년제),대구,영진전문대학,본교,기존,사립,대구 북구 복현로 35(복현동 218번지),http://www.yjc.ac.kr
전문대학(2년제),세종,한국영상대학교,본교,학교명 변경,사립,세종특별자치시 장군면 대학길 300 한국영상대학교,www.pro.ac.kr
